(eval):3: command not found: setsid
[2026-05-31T15:35:30-07:00] iter=1 delta=+0 closed=1340 open=708 rc=0 retries=0
[2026-05-31T19:28:57-07:00] iter=285 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:29:02-07:00] iter=286 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:29:08-07:00] iter=287 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:29:13-07:00] iter=288 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:29:19-07:00] iter=289 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:29:25-07:00] iter=290 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:29:30-07:00] iter=291 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:29:36-07:00] iter=292 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:29:42-07:00] iter=293 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:29:47-07:00] iter=294 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:29:53-07:00] iter=295 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:29:58-07:00] iter=296 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:30:04-07:00] iter=297 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:30:09-07:00] iter=298 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:30:14-07:00] iter=299 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:30:20-07:00] iter=300 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:30:25-07:00] iter=301 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:30:31-07:00] iter=302 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:30:36-07:00] iter=303 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:30:42-07:00] iter=304 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:30:47-07:00] iter=305 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:30:53-07:00] iter=306 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:30:59-07:00] iter=307 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:31:04-07:00] iter=308 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:31:10-07:00] iter=309 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:31:16-07:00] iter=310 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:31:21-07:00] iter=311 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:31:27-07:00] iter=312 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:31:33-07:00] iter=313 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:31:38-07:00] iter=314 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:31:45-07:00] iter=315 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:31:51-07:00] iter=316 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:31:56-07:00] iter=317 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:32:02-07:00] iter=318 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:32:08-07:00] iter=319 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:32:14-07:00] iter=320 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:32:19-07:00] iter=321 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:32:24-07:00] iter=322 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:32:30-07:00] iter=323 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:32:35-07:00] iter=324 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:32:41-07:00] iter=325 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:32:47-07:00] iter=326 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:32:53-07:00] iter=327 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:32:59-07:00] iter=328 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:33:05-07:00] iter=329 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:33:10-07:00] iter=330 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:33:15-07:00] iter=331 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:33:21-07:00] iter=332 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:33:26-07:00] iter=333 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:33:31-07:00] iter=334 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:33:36-07:00] iter=335 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:33:41-07:00] iter=336 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:33:47-07:00] iter=337 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:33:53-07:00] iter=338 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:33:58-07:00] iter=339 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:34:03-07:00] iter=340 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:34:37-07:00] iter=341 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:34:43-07:00] iter=342 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:34:49-07:00] iter=343 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:34:54-07:00] iter=344 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:35:01-07:00] iter=345 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:35:10-07:00] iter=346 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:35:15-07:00] iter=347 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:35:21-07:00] iter=348 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:49:40-07:00] iter=349 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:49:45-07:00] iter=350 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:49:51-07:00] iter=351 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:49:58-07:00] iter=352 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:50:06-07:00] iter=353 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:50:11-07:00] iter=354 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:50:17-07:00] iter=355 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:50:22-07:00] iter=356 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:50:27-07:00] iter=357 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:50:33-07:00] iter=358 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:50:38-07:00] iter=359 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:50:44-07:00] iter=360 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:50:50-07:00] iter=361 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:50:56-07:00] iter=362 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:51:01-07:00] iter=363 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:51:06-07:00] iter=364 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:51:12-07:00] iter=365 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:51:17-07:00] iter=366 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:51:23-07:00] iter=367 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:51:28-07:00] iter=368 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:51:33-07:00] iter=369 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:51:39-07:00] iter=370 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:51:44-07:00] iter=371 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:51:49-07:00] iter=372 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:51:55-07:00] iter=373 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:52:00-07:00] iter=374 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:52:05-07:00] iter=375 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:52:11-07:00] iter=376 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:52:17-07:00] iter=377 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:52:22-07:00] iter=378 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:52:28-07:00] iter=379 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:52:33-07:00] iter=380 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:52:38-07:00] iter=381 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:52:44-07:00] iter=382 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:52:49-07:00] iter=383 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:52:55-07:00] iter=384 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:53:00-07:00] iter=385 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:53:06-07:00] iter=386 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:53:12-07:00] iter=387 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:53:17-07:00] iter=388 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:53:23-07:00] iter=389 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:53:28-07:00] iter=390 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:53:33-07:00] iter=391 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:53:39-07:00] iter=392 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:53:47-07:00] iter=393 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:53:53-07:00] iter=394 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:53:58-07:00] iter=395 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:54:03-07:00] iter=396 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:54:08-07:00] iter=397 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:54:14-07:00] iter=398 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:54:19-07:00] iter=399 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:54:25-07:00] iter=400 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:54:31-07:00] iter=401 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:54:36-07:00] iter=402 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:54:42-07:00] iter=403 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:54:47-07:00] iter=404 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:54:53-07:00] iter=405 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:54:58-07:00] iter=406 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:55:03-07:00] iter=407 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:55:08-07:00] iter=408 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:55:14-07:00] iter=409 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:55:20-07:00] iter=410 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:55:25-07:00] iter=411 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:55:30-07:00] iter=412 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:55:38-07:00] iter=413 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:55:43-07:00] iter=414 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:55:49-07:00] iter=415 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:55:54-07:00] iter=416 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:56:00-07:00] iter=417 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:56:05-07:00] iter=418 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:56:11-07:00] iter=419 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:56:16-07:00] iter=420 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:56:21-07:00] iter=421 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:56:27-07:00] iter=422 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:56:32-07:00] iter=423 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:56:37-07:00] iter=424 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:56:43-07:00] iter=425 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:56:48-07:00] iter=426 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:56:54-07:00] iter=427 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:56:59-07:00] iter=428 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:57:09-07:00] iter=429 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:57:15-07:00] iter=430 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:57:20-07:00] iter=431 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:57:26-07:00] iter=432 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:57:33-07:00] iter=433 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:57:38-07:00] iter=434 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:57:43-07:00] iter=435 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:57:49-07:00] iter=436 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:57:54-07:00] iter=437 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:58:00-07:00] iter=438 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:58:06-07:00] iter=439 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:58:12-07:00] iter=440 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:58:18-07:00] iter=441 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:58:23-07:00] iter=442 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:58:28-07:00] iter=443 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:58:33-07:00] iter=444 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:58:39-07:00] iter=445 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:58:44-07:00] iter=446 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:58:50-07:00] iter=447 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:58:55-07:00] iter=448 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:59:01-07:00] iter=449 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:59:07-07:00] iter=450 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:59:12-07:00] iter=451 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:59:18-07:00] iter=452 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:59:23-07:00] iter=453 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:59:28-07:00] iter=454 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:59:34-07:00] iter=455 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:59:40-07:00] iter=456 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:59:45-07:00] iter=457 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:59:50-07:00] iter=458 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:59:56-07:00] iter=459 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:00:02-07:00] iter=460 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:00:07-07:00] iter=461 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:00:13-07:00] iter=462 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:00:19-07:00] iter=463 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:00:24-07:00] iter=464 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:00:30-07:00] iter=465 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:00:35-07:00] iter=466 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:00:41-07:00] iter=467 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:00:46-07:00] iter=468 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:00:51-07:00] iter=469 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:00:56-07:00] iter=470 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:01:02-07:00] iter=471 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:01:08-07:00] iter=472 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:01:13-07:00] iter=473 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:01:19-07:00] iter=474 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:01:24-07:00] iter=475 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:01:29-07:00] iter=476 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:01:35-07:00] iter=477 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:01:41-07:00] iter=478 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:01:47-07:00] iter=479 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:01:55-07:00] iter=480 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:02:00-07:00] iter=481 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:02:06-07:00] iter=482 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:02:11-07:00] iter=483 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:02:17-07:00] iter=484 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:02:23-07:00] iter=485 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:02:29-07:00] iter=486 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:02:34-07:00] iter=487 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:02:40-07:00] iter=488 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:02:46-07:00] iter=489 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:02:51-07:00] iter=490 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:02:56-07:00] iter=491 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:03:02-07:00] iter=492 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:03:07-07:00] iter=493 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:03:13-07:00] iter=494 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:03:19-07:00] iter=495 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:03:24-07:00] iter=496 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:03:29-07:00] iter=497 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:03:35-07:00] iter=498 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:03:40-07:00] iter=499 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:03:45-07:00] iter=500 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:03:51-07:00] iter=501 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:03:56-07:00] iter=502 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:04:03-07:00] iter=503 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:04:09-07:00] iter=504 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:04:14-07:00] iter=505 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:04:20-07:00] iter=506 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:04:26-07:00] iter=507 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:04:31-07:00] iter=508 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:04:37-07:00] iter=509 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:04:43-07:00] iter=510 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:04:48-07:00] iter=511 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:04:54-07:00] iter=512 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:05:00-07:00] iter=513 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:05:06-07:00] iter=514 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:05:11-07:00] iter=515 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:05:17-07:00] iter=516 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:05:22-07:00] iter=517 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:05:27-07:00] iter=518 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:05:32-07:00] iter=519 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:05:38-07:00] iter=520 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:05:43-07:00] iter=521 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:05:49-07:00] iter=522 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:05:55-07:00] iter=523 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:06:00-07:00] iter=524 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:06:05-07:00] iter=525 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:06:10-07:00] iter=526 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:06:16-07:00] iter=527 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:06:22-07:00] iter=528 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:06:27-07:00] iter=529 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:06:32-07:00] iter=530 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:06:37-07:00] iter=531 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:06:43-07:00] iter=532 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:06:48-07:00] iter=533 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:06:53-07:00] iter=534 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:06:58-07:00] iter=535 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:07:04-07:00] iter=536 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:07:09-07:00] iter=537 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:07:15-07:00] iter=538 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:07:20-07:00] iter=539 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:07:25-07:00] iter=540 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:07:32-07:00] iter=541 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:07:38-07:00] iter=542 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:07:43-07:00] iter=543 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:07:48-07:00] iter=544 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:07:54-07:00] iter=545 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:07:59-07:00] iter=546 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:08:05-07:00] iter=547 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:08:11-07:00] iter=548 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:08:16-07:00] iter=549 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:08:21-07:00] iter=550 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:08:26-07:00] iter=551 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:08:32-07:00] iter=552 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:08:37-07:00] iter=553 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:08:43-07:00] iter=554 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:08:49-07:00] iter=555 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:08:54-07:00] iter=556 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:09:00-07:00] iter=557 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:09:05-07:00] iter=558 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:09:11-07:00] iter=559 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:09:17-07:00] iter=560 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:09:22-07:00] iter=561 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:09:32-07:00] iter=562 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:09:38-07:00] iter=563 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:09:43-07:00] iter=564 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:09:48-07:00] iter=565 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:09:53-07:00] iter=566 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:09:59-07:00] iter=567 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T20:17:29-07:00] iter=568 delta=+3 closed=1357 open=690 rc=0 retries=1
